Name                       Version                     Rev    Tracking         Publisher         Notes
bare                       1.0                         5      latest/stable    canonical**       base
chromium                   111.0.5563.64               2381   latest/stable    canonical**       -
chromium-ffmpeg            0.1                         30     latest/stable    canonical**       -
core18                     20230308                    2714   latest/stable    canonical**       base
core20                     20230207                    1828   latest/stable    canonical**       base
core22                     20230210                    522    latest/stable    canonical**       base
cups                       2.4.2-5                     872    latest/stable    openprinting**    -
discord                    0.0.25                      150    latest/stable    snapcrafters      -
eclipse                    2022-12                     66     latest/stable    snapcrafters      classic
firefox                    110.0.1-2                   2391   latest/stable/…  mozilla**         -
gnome-3-28-1804            3.28.0-19-g98f9e67.98f9e67  161    latest/stable    canonical**       -
gnome-3-38-2004            0+git.6f39565               119    latest/stable/…  canonical**       -
gnome-42-2204              0+git.09673a5               65     latest/stable    canonical**       -
gtk-common-themes          0.1-81-g442e511             1535   latest/stable/…  canonical**       -
htop-pro                   2.0                         16     latest/stable    rishabh3354       -
mapscii                    0.3.1                       14     latest/stable    nhaines           -
obs-studio                 27.1.3                      1284   latest/stable    snapcrafters      -
opera                      96.0.4693.50                222    latest/stable    opera-software**  -
pyqt5-runtime-lite         18.04                       4      latest/stable    rishabh3354       -
snap-store                 41.3-66-gfe1e325            638    latest/stable/…  canonical**       -
snapd                      2.58.2                      18357  latest/stable    canonical**       snapd
snapd-desktop-integration  0.1                         49     latest/stable/…  canonical**       -
spotify                    1.1.84.716.gc5f8b819        60     latest/stable    spotify**         -
spotify-qt                 v3.9                        2228   latest/stable    kraxarn           -
